,年份,ID,卖家,名称,价格
0,2019,1151846,京东,飞科(FLYCO)电吹风机家用FH6232大功率吹风筒 2000W,¥47.00                                                                                      在线支付
1,2019,5068393,京东,富光 304不锈钢茶杯学生水杯 真空商务保温杯保温壶 男女士带滤网时尚直身杯子480ML黑色（WFZ1063-480),¥49.90                                                                                      在线支付
2,2020,6117431,京东,小米 米家插线板3位基础版 插线板/插排/插座 白色,¥39.00                                                                                      在线支付
3,2020,100003327477,,ZMI紫米苹果PD单USB-C口充电器18W快充头适用iphoneSE/11Pro/X/Xs/XR/XsMax/8P 充电器线等HA711白色,¥1587.00                                                                                      在线支付
4,2020,60407963718,京东,苹果（Apple） airpods pro主动降噪无线蓝牙耳机airpods3 支持iPad airpods pro 【标配】,¥17.90                                                                                      在线支付
5,2020,100005177932,京东,现代翼蛇（HYesir）HY-KA7键盘 有线键盘 usb接口 防水泼 办公键盘 不掉色 经典爆款 黑,¥35.00                                                                                      在线支付
6,2020,100010456020,京东,早安 益生菌牙膏护龈固齿金银花清新口气去牙渍  玫瑰薄荷清爽免洗便携漱口水泡沫牙膏洁牙慕斯60ml*2支,¥29.90                                                                                      在线支付
7,2020,100001737497,京东,FOOJO门窗密封条 门窗门缝自粘型毛条隔音条 防盗门窗户防尘防风防水密封条 自粘D型密封条 9*5灰色10米,¥58.00                                                                                      在线支付
8,2020,100001441977,,妮维雅（NIVEA）丝柔香润沐浴慕斯200ml（奢宠醇香 沐浴露 德国进口 杨紫同款）,
9,2020,100001910028,京东,妮维雅（NIVEA）丝柔香润沐浴慕斯200ml（柠檬清香 沐浴露 德国进口 杨紫同款）,¥35.00                                                                                      在线支付
10,2020,1587942,京东,绿联 安卓数据线 充电线 2A快充Micro USB车载充电器线通用华为小米vivo/oppo三星荣耀麦芒手机0.5米10847 白,¥11.90                                                                                      在线支付
11,2020,100004533955,京东,魅族（MEIZU）HiFi音频解码耳放PRO  DAC 黑色 3.5mm手机 Type-C USB转接线,¥46.90                                                                                      在线支付
12,2020,67999282980,京东,京东金融 影音娱乐 升级补贴1年 YYYL010304C,¥286.10                                                                                      在线支付
13,2020,100008348626,京东,海乐电脑支架笔记本升降架拖电脑底座铝合金增高架手提电脑支架无极悬停AC-8,¥35.00                                                                                      在线支付
14,2020,41552911916,京东,3日内新鲜烘焙 SINLOY蓝山风味咖啡豆 可现磨纯黑咖啡粉 454g 轻度烘焙,¥229.00                                                                                      在线支付
15,2020,4636273,,旁氏(POND'S)樱粉亮泽洁面泡泡 卸妆洗面奶150ml(日本氨基酸 改善肤色暗沉 温和不紧绷),¥32.00                                                                                      在线支付
16,2020,5325340,,旁氏(POND'S)米粹润泽洁面泡泡 卸妆洗面奶150ml(改善肤色暗沉 温和不紧绷),
17,2020,48454253171,京东,半亩花田烟酰胺去角质慕斯洁面乳烟酰胺洗面奶清爽深层清洁洗脸乳液 80ml 去角质慕斯,¥62.32                                                                                      在线支付
18,2020,5255017,京东,真知棒什锦水果味棒棒糖约60支570g袋装 婚庆糖果 儿童零食水果糖散糖,¥59.00                                                                                      在线支付
19,2020,4743218,京东,阿尔卑斯混合口味硬糖棒棒糖80支装 抖音表白神器 儿童糖果 休闲零食 800g（新老包装随机发货）,¥91.03                                                                                      在线支付
20,2020,25582417588,,闪魔 苹果11钢化膜iphone XR/Xs/11Pro/XsMax高清非全屏抗蓝光防窥磨砂贴膜 XR/11【6.1英寸^加强版】2片送神器,¥2.80                                                                                      在线支付
21,2020,66073513922,,APOBICO 魅族16thplus液态硅胶Meizu手机壳保护壳套男女款全包防摔滑超薄网红潮牌软壳 魅族16/th【酷睿黑】手机壳,¥25.40                                                                                      在线支付
22,2020,32848024129,,爱牙牙 4D牙齿矫正器 隐形矫正牙套 成人牙齿矫正器 矫正龅牙  牙齿不齐 一阶段,¥118.00                                                                                      在线支付
