,剧名,时间进度,进度,类型,封面图片
0,婆婆和妈妈第7期：婆媳岳婿大合宿！李佳航成伊能静麦迪娜工具人,93:16,99%,综艺,https:\/\/0img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/5\/11\/zongyi\/338575\/20200511150305690-new.jpg
1,妻子的浪漫旅行第四季第5期：谢娜吃长桌宴馋哭何炅 蔡少芬张晋挑战女团舞,88:50,97%,综艺,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/4\/30\/zongyi\/338481\/20200430163213468-new.jpg
2,《婆婆和妈妈》7月9日加长版看点：林志颖妈妈被喷恶婆婆？秦昊李晟姜潮挑战夹心饼难题,02:38,4%,,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/7\/8\/zongyi\/338575\/9255461\/20200708094331565.jpg
3,密室大逃脱第二季 大神版第2期：周峻纬变地产中介 神秘大厦怪事频发,47:10,96%,综艺,https:\/\/0img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/7\/2\/zongyi\/340817\/20200702133659226-new.jpg
4,奈何BOSS又如何 第16集 聂星辰改造老房打动廖总夫妇,51:19,96%,电视剧,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/06\/01\/20200601145727124.jpg
5,密室大逃脱第二季第2期：大厦疑云,100:13,96%,综艺,https:\/\/1img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/7\/2\/zongyi\/338403\/20200702175114030-new.jpg
6,那江烟花那江雨 赵弈钦狂撩正经人吴佳怡,00:15,47%,电视剧,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/7\/5\/dianshiju\/340647\/9136779\/20200705205914089.jpg
7,那江烟花那江雨 吴佳怡深陷权谋争斗步步危机,02:48,100%,电视剧,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/7\/6\/dianshiju\/340647\/9160345\/20200706093010717.jpg
8,那江烟花那江雨 吴佳怡携手赵弈钦 “怪味”撒糖,01:17,100%,电视剧,https:\/\/1img.hitv.com\/preview\/sp_images\/2020\/7\/4\/dianshiju\/340647\/9094926\/20200704233401565.jpg
9,快乐大本营20200704期：秦昊现场跳《无价之姐》 秦岚魏大勋林允陷人设崩塌危机,94:00,96%,综艺,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2019\/12\/2\/zongyi\/334727\/20191202115328263-new.jpg
10,乘风破浪的姐姐 第4期：姐姐重组3人团 考评难度升级,114:47,36%,综艺,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/5\/21\/zongyi\/338497\/20200521160918831-new.jpg
11,妻子的浪漫旅行 第四季 06期看点：妻子团踢馆《姐姐》,02:02,68%,综艺,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/7\/4\/zongyi\/338481\/9018765\/20200704003230723.jpg
12,婆婆和妈妈 李佳航写歌请教毛不易,02:32,1%,综艺,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/7\/2\/zongyi\/338575\/8940431\/20200702171719104.jpg
13,婆婆和妈妈 伊能静意外跌倒陷危机！,02:01,100%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/7\/2\/zongyi\/338575\/8940426\/20200702170810134.jpg
14,笑起来真好看第8期：秦霄贤低音炮超惊艳 高露为爱上演“变形计”,90:42,100%,综艺,https:\/\/2img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/4\/21\/zongyi\/338192\/20200421145513450-new.jpg
15,【奈何Boss又如何】失忆总裁X腹黑女秘书 男主攻到让人想谈恋爱,02:44,1%,原创,https:\/\/1img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/5\/26\/yuanchuang\/339237\/20200526182434388-new.jpg
16,拜托，请你爱我 第1集 易涵裴呦呦“公开恋情”,44:16,13%,电视剧,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2019\/12\/19\/dianshiju\/333652\/20191219164930758-new.jpg
